lombok-intellij-plugin,https://github.com/mplushnikov/lombok-intellij-plugin.git,1795
mapdb,https://github.com/jankotek/mapdb.git,3579
MarkdownEditors,https://github.com/qinci/MarkdownEditors.git,1043
materialistic,https://github.com/hidroh/materialistic.git,1856
micro-server,https://github.com/aol/micro-server.git,905
Moxy,https://github.com/Arello-Mobile/Moxy.git,1533
MPS,https://github.com/JetBrains/MPS.git,938
mpush,https://github.com/mpusher/mpush.git,2523
mr-mantou-android,https://github.com/oxoooo/mr-mantou-android.git,733
MusicBobber,https://github.com/Cleveroad/MusicBobber.git,796
nd4j,https://github.com/deeplearning4j/nd4j.git,1580
neo4j,https://github.com/neo4j/neo4j.git,6354
neuralnetworks,https://github.com/ivan-vasilev/neuralnetworks.git,1201
nifty,https://github.com/facebookarchive/nifty.git,863
ninja,https://github.com/ninjaframework/ninja.git,1834
NoHttp,https://github.com/yanzhenjie/NoHttp.git,3625
nucleus,https://github.com/konmik/nucleus.git,2009
Omni-Notes,https://github.com/federicoiosue/Omni-Notes.git,1794
OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner.git,1284
optaplanner,https://github.com/kiegroup/optaplanner.git,1225
orbit,https://github.com/orbit/orbit.git,1371
overlap2d,https://github.com/UnderwaterApps/overlap2d.git,720
pac4j,https://github.com/pac4j/pac4j.git,1559
pentaho-kettle,https://github.com/pentaho/pentaho-kettle.git,2606
PhotoNoter,https://github.com/yydcdut/PhotoNoter.git,1561
PhotoPicker,https://github.com/donglua/PhotoPicker.git,2823
pi4j,https://github.com/Pi4J/pi4j.git,1024
pinpoint,https://github.com/naver/pinpoint.git,8537
pippo,https://github.com/pippo-java/pippo.git,708
platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base.git,8459
play-authenticate,https://github.com/joscha/play-authenticate.git,822
presto,https://github.com/prestodb/presto.git,8966
processing,https://github.com/processing/processing.git,4797
pulsar,https://github.com/apache/pulsar.git,3255
pysonar2,https://github.com/yinwang0/pysonar2.git,443
qbit,https://github.com/advantageous/qbit.git,656
qksms,https://github.com/moezbhatti/qksms.git,2381
qualitymatters,https://github.com/artem-zinnatullin/qualitymatters.git,1758
quasar,https://github.com/puniverse/quasar.git,3527
rapidoid,https://github.com/rapidoid/rapidoid.git,1401
ratpack,https://github.com/ratpack/ratpack.git,1784
reark,https://github.com/reark/reark.git,2122
redisson,https://github.com/redisson/redisson.git,8867
requery,https://github.com/requery/requery.git,2792
rest-assured,https://github.com/rest-assured/rest-assured.git,3856
rest-client,https://github.com/wiztools/rest-client.git,1346
rest.li,https://github.com/linkedin/rest.li.git,1915
